Tipo 1,Tipo 2,Tipo 3,Patogeno
122,102,125,113,114
122,102,125,113,114
122,102,125,113,114
122,102,125,113,114
122,102,125,113,114
122,102,125,113,114
122,102,125,113,114
122,102,125,113,114
122,102,125,113,114
122,102,125,113,114
122,102,125,113,114
122,102,125,113,114
122,102,125,113,114
122,102,125,113,114
122,102,125,113,114
122,102,125,113,114
122,102,125,113,114
122,102,125,113,114
122,102,125,113,114
123,101,125,113,114
123,101,125,113,114
123,101,126,112,114
123,101,126,112,114
123,101,126,112,114
123,101,126,112,114
123,101,126,112,114
123,101,126,112,114
123,101,126,112,114
123,101,126,112,114
123,101,126,112,114
123,101,126,112,114
123,101,126,112,114
123,101,126,112,114
123,101,126,112,114
123,101,126,112,114
123,101,126,112,114
122,102,126,112,114
122,102,126,112,114
122,102,126,112,114
122,102,126,112,114
123,102,125,112,114
123,102,125,112,114
123,102,125,112,114
123,102,125,112,114
123,102,125,112,114
123,102,125,112,114
123,102,125,112,114
123,102,124,113,114
123,102,124,113,114
123,102,124,113,114
123,102,124,113,114
122,102,124,114,114
122,102,124,114,114
122,102,124,114,114
122,102,124,114,114
122,102,124,114,114
122,102,124,114,114
122,101,125,114,114
122,101,125,114,114
122,101,125,114,114
122,101,125,114,114
122,101,126,113,114
122,101,126,113,114
122,101,126,113,114
122,101,126,113,114
122,101,126,113,114
122,101,126,113,114
122,101,126,113,114
122,101,126,113,114
122,101,126,113,114
122,101,126,113,114
122,101,126,113,114
122,101,126,113,114
122,101,126,113,114
122,101,126,113,114
121,101,127,113,114
121,101,127,113,114
121,101,127,113,114
121,101,127,113,114
121,101,127,113,114
121,101,127,113,114
121,101,127,113,114
121,101,127,113,114
121,101,127,113,114
121,101,127,113,114
121,101,127,113,114
121,101,127,113,114
121,101,127,113,114
121,101,127,113,114
121,101,127,113,114
121,101,127,113,114
121,101,127,113,114
121,101,127,113,114
121,101,127,113,114
121,101,127,113,114
122,101,127,112,114
122,101,127,112,114
122,101,127,112,114
122,101,127,112,114
122,101,127,112,114
121,102,127,112,114
121,102,127,112,114
121,102,127,112,114
121,102,127,112,114
121,102,127,112,114
121,102,127,112,114
121,102,127,112,114
122,102,127,111,114
122,102,127,111,114
122,102,127,111,114
122,102,127,111,114
122,102,127,111,114
122,102,127,111,114
122,102,127,111,114
122,102,127,111,114
122,102,127,111,114
122,102,127,111,114
122,102,127,111,114
122,102,127,111,114
122,102,127,111,114
122,102,127,111,114
122,102,127,111,114
122,102,127,111,114
122,102,127,111,114
122,102,127,111,114
122,102,127,111,114
122,102,127,111,114
122,102,127,111,114
122,102,127,111,114
122,102,127,111,114
122,102,127,111,114
122,102,127,111,114
122,102,127,111,114
122,102,127,111,114
122,102,127,111,114
122,102,127,111,114
121,102,127,112,114
121,102,127,112,114
121,102,127,112,114
121,102,127,112,114
121,102,127,112,114
121,102,127,112,114
121,102,127,112,114
121,102,127,112,114
122,102,126,112,114
122,102,126,112,114
122,102,126,112,114
122,102,126,112,114
122,102,126,112,114
122,102,126,112,114
122,102,126,112,114
122,102,126,112,114
122,103,126,111,114
123,103,126,110,114
123,103,126,110,114
123,103,126,110,114
123,103,126,110,114
123,103,126,110,114
124,103,126,109,114
124,103,126,109,114
